iter	Passed	Remaining
0	0	43
1	0	44
2	1	42
3	1	38
4	1	37
5	2	37
6	2	37
7	3	36
8	3	35
9	3	34
10	4	35
11	4	34
12	5	38
13	6	37
14	6	36
15	6	35
16	7	35
17	7	34
18	8	34
19	8	34
20	8	33
21	9	32
22	9	32
23	9	31
24	10	31
25	10	30
26	11	30
27	11	29
28	12	29
29	12	28
30	12	28
31	13	27
32	13	27
33	13	26
34	14	26
35	14	25
36	14	25
37	15	24
38	15	24
39	16	24
40	16	23
41	16	22
42	16	22
43	17	21
44	17	21
45	18	21
46	18	20
47	18	20
48	19	19
49	19	19
50	19	18
51	20	18
52	20	18
53	20	17
54	21	17
55	21	16
56	21	16
57	22	16
58	22	15
59	22	15
60	23	14
61	23	14
62	23	14
63	24	13
64	24	13
65	24	12
66	25	12
67	25	12
68	26	11
69	26	11
70	27	11
71	27	10
72	27	10
73	28	9
74	28	9
75	29	9
76	29	8
77	29	8
78	30	8
79	30	7
80	31	7
81	31	6
82	31	6
83	32	6
84	32	5
85	32	5
86	33	4
87	33	4
88	33	4
89	34	3
90	34	3
91	34	3
92	35	2
93	35	2
94	35	1
95	36	1
96	36	1
97	36	0
98	37	0
99	37	0
