iter	Passed	Remaining
0	53	53829
1	54	27078
2	54	18161
3	54	13691
4	55	11031
5	55	9240
6	56	7966
7	56	7022
8	56	6274
9	57	5677
10	57	5193
11	58	4789
12	58	4446
13	59	4159
14	59	3897
15	59	3671
16	60	3472
17	60	3295
18	60	3141
19	61	2998
20	61	2871
21	62	2765
22	62	2656
23	63	2562
24	63	2478
25	63	2393
26	64	2315
27	64	2244
28	65	2183
29	65	2117
30	65	2056
31	66	2000
32	66	1946
33	66	1899
34	67	1851
35	67	1805
36	67	1768
37	68	1733
38	68	1695
39	69	1662
40	69	1628
41	69	1594
42	70	1562
43	70	1534
44	70	1506
45	71	1477
46	71	1450
47	71	1423
48	72	1404
49	72	1381
50	73	1361
51	73	1343
52	73	1321
53	74	1303
54	74	1286
55	75	1268
56	75	1251
57	76	1237
58	76	1220
59	76	1205
60	77	1190
61	77	1177
62	78	1163
63	78	1150
64	79	1136
65	79	1123
66	79	1110
67	80	1098
68	80	1086
69	80	1075
70	81	1063
71	81	1051
72	81	1039
73	82	1028
74	82	1018
75	82	1008
76	83	998
77	83	989
78	84	981
79	84	973
80	84	964
81	85	954
82	85	943
83	85	934
84	86	926
85	86	918
86	86	911
87	87	904
88	87	895
89	87	888
90	88	883
91	88	875
92	89	869
93	89	864
94	90	858
95	90	852
96	90	846
97	91	841
98	91	836
99	92	829
100	92	824
101	93	819
102	93	814
103	93	808
104	94	803
105	94	798
106	95	794
107	95	791
108	96	786
109	96	781
110	96	776
111	97	771
112	97	766
113	97	761
114	98	756
115	98	752
116	98	747
117	99	742
118	99	737
119	100	734
120	100	730
121	100	725
122	101	721
123	101	716
124	101	712
125	102	709
126	102	706
127	103	702
128	103	699
129	103	695
130	104	692
131	104	689
132	105	685
133	105	682
134	105	678
135	106	675
136	106	673
137	107	671
138	107	668
139	108	664
140	108	661
141	108	657
142	109	654
143	109	651
144	109	648
145	110	646
146	110	643
147	111	640
148	111	637
149	111	633
150	112	630
151	112	628
152	112	625
153	113	622
154	113	619
155	114	616
156	114	614
157	114	612
158	115	609
159	115	607
160	115	603
161	116	600
162	116	597
163	116	595
164	117	593
165	117	590
166	117	588
167	118	585
168	118	583
169	119	581
170	119	578
171	119	576
172	120	573
173	120	571
174	120	570
175	121	568
176	121	565
177	122	563
178	122	561
179	122	560
180	123	558
181	123	556
182	124	553
183	124	551
184	124	550
185	125	548
186	125	546
187	126	544
188	126	542
189	126	541
190	127	539
191	127	537
192	128	535
193	128	535
194	129	533
195	129	531
196	129	529
197	130	527
198	130	525
199	130	523
200	131	522
201	131	521
202	132	519
203	132	517
204	133	515
205	133	514
206	133	512
207	134	510
208	134	508
209	134	507
210	135	505
211	135	503
212	135	502
213	136	500
214	136	499
215	137	497
216	137	496
217	137	494
218	138	492
219	138	491
220	138	489
221	139	487
222	139	485
223	139	484
224	140	483
225	140	482
226	141	481
227	141	479
228	142	478
229	142	477
230	143	476
231	143	474
232	143	473
233	144	471
234	144	470
235	144	469
236	145	467
237	145	465
238	145	464
239	146	463
240	146	461
241	146	460
242	147	459
243	148	458
244	148	458
245	149	457
246	149	455
247	149	454
248	150	452
249	150	451
250	151	450
251	151	449
252	151	447
253	152	446
254	152	445
255	152	444
256	153	442
257	153	441
258	153	439
259	154	438
260	154	437
261	155	436
262	155	435
263	155	434
264	156	433
265	156	432
266	157	431
267	157	430
268	157	428
269	158	427
270	158	426
271	158	425
272	159	423
273	159	422
274	159	421
275	160	420
276	160	419
277	161	418
278	161	417
279	161	416
280	162	415
281	162	414
282	163	413
283	163	412
284	164	411
285	164	410
286	164	409
287	164	407
288	165	406
289	165	405
290	166	405
291	166	404
292	167	403
293	167	402
294	168	401
295	168	400
296	168	399
297	169	398
298	169	397
299	169	396
300	170	395
301	170	394
302	171	393
303	171	392
304	171	391
305	172	390
306	172	389
307	172	388
308	173	387
309	173	386
310	174	385
311	174	384
312	174	383
313	175	382
314	175	381
315	175	380
316	176	379
317	176	378
318	177	378
319	177	377
320	177	376
321	178	375
322	178	374
323	179	373
324	179	372
325	179	371
326	179	370
327	180	369
328	180	368
329	180	367
330	181	366
331	181	365
332	182	364
333	182	363
334	182	362
335	183	362
336	183	361
337	183	360
338	184	359
339	184	358
340	185	357
341	185	357
342	185	356
343	186	355
344	186	354
345	187	353
346	187	353
347	187	352
348	188	351
349	188	350
350	189	349
351	189	348
352	189	347
353	190	346
354	190	346
355	190	345
356	191	344
357	191	343
358	191	342
359	192	341
360	192	340
361	193	340
362	193	339
363	194	339
364	194	338
365	194	337
366	195	336
367	195	335
368	195	334
369	196	333
370	196	333
371	196	332
372	197	331
373	197	330
374	198	330
375	198	329
376	198	328
377	199	327
378	199	327
379	199	326
380	200	325
381	200	324
382	201	323
383	201	323
384	201	322
385	202	321
386	202	321
387	203	320
388	203	319
389	204	319
390	204	318
391	204	317
392	205	316
393	205	316
394	205	315
395	206	314
396	206	313
397	206	313
398	207	312
399	207	311
400	208	310
401	208	310
402	209	309
403	209	308
404	210	308
405	210	308
406	211	307
407	211	306
408	211	306
409	212	305
410	212	304
411	213	304
412	213	303
413	214	302
414	214	302
415	214	301
416	215	300
417	215	300
418	215	299
419	216	298
420	216	298
421	217	297
422	217	296
423	218	297
424	219	296
425	219	296
426	220	295
427	220	294
428	220	293
429	221	293
430	221	292
431	221	291
432	222	291
433	222	290
434	223	289
435	223	288
436	223	288
437	224	287
438	224	286
439	224	286
440	225	285
441	225	285
442	226	284
443	226	283
444	227	283
445	227	282
446	227	282
447	228	281
448	228	280
449	229	280
450	229	279
451	229	278
452	230	278
453	230	277
454	231	276
455	231	276
456	231	275
457	232	274
458	232	274
459	232	273
460	233	272
461	233	271
462	233	271
463	234	270
464	234	269
465	234	268
466	235	268
467	235	267
468	235	267
469	236	266
470	236	265
471	237	265
472	237	264
473	237	263
474	238	263
475	238	262
476	239	262
477	239	261
478	240	261
479	240	260
480	241	260
481	241	259
482	242	259
483	242	258
484	242	257
485	243	257
486	243	256
487	244	256
488	244	255
489	245	255
490	245	254
491	245	253
492	246	253
493	246	252
494	247	252
495	247	251
496	248	251
497	248	250
498	248	249
499	249	249
500	249	248
501	249	247
502	250	247
503	250	246
504	251	246
505	251	245
506	251	244
507	252	244
508	252	243
509	252	243
510	253	242
511	253	241
512	254	241
513	256	242
514	256	241
515	257	241
516	257	240
517	257	239
518	258	239
519	258	238
520	258	237
521	259	237
522	259	236
523	260	236
524	260	235
525	260	235
526	261	234
527	261	233
528	261	233
529	262	232
530	262	231
531	262	231
532	263	230
533	263	229
534	263	229
535	264	228
536	264	227
537	264	227
538	265	226
539	265	226
540	265	225
541	266	225
542	266	224
543	267	223
544	267	223
545	268	222
546	268	222
547	268	221
548	269	221
549	269	220
550	269	219
551	270	219
552	270	218
553	271	218
554	271	217
555	272	217
556	272	217
557	273	216
